Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
170.0,170.0,170.0,275.0
160.0,170.0,165.0,280.0
160.0,170.0,180.0,280.42
160.0,155.0,160.0,280.0
140.0,150.0,155.0,290.0
136.6666667,146.67,148.33,291.66
133.3333333,143.33,141.67,293.32
130.0,140.0,135.0,294.98
140.0,130.0,120.0,294.98
110.0,130.0,110.0,306.08
110.0,125.0,110.0,299.0
153.3333333,186.67,175.0,299.0
196.6666667,248.33,240.0,302.95
240.0,310.0,305.0,306.9
140.0,145.0,165.0,310.86
340.0,115.0,150.0,307.79
325.0,180.0,207.5,307.79
310.0,245.0,265.0,299.81
370.0,295.0,305.0,299.0
317.5,292.5,300.0,303.23
265.0,290.0,295.0,307.45
275.0,290.0,290.0,311.68
262.1428571,266.43,264.29,313.67
249.2857143,242.86,238.57,313.67
236.4285714,219.29,212.86,313.67
223.5714286,195.71,187.14,313.67
210.7142857,172.14,161.43,313.67
197.8571429,148.57,135.71,313.67
185.0,125.0,110.0,313.67
185.0,125.0,110.0,310.0
177.5,95.0,80.0,310.0
