Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-11-26,Leeks,,40.00--45.00,35.00--45.00,50.00--60.00,,45.00--50.00,25.00-30.00,25.00-30.00,,
2020-11-27,Leeks,,40.00--45.00,,50.00--60.00,,45.00--50.00,,25.00-30.00,,
2020-11-30,Leeks,,40.00--50.00,35.00--50.00,,,40.00--50.00,38.00-43.00,35.00-40.00,,
2020-12-03,Leeks,100.00--120.00,120.00--130.00,100.00-120.00,130.00-140.00,,130.00-140.00,100.00-105.00,105.00--115.00,,
2020-12-08,Leeks,40.00--60.00,50.00--60.00,40.00--60.00,65.00--70.00,,45.00--60.00,43.00-45.00,50.00-55.00,,
2020-12-10,Leeks,50.00--70.00,50.00--60.00,40.00--50.00,55.00--65.00,,55.00--60.00,,40.00-45.00,,
2020-12-11,Leeks,,35.00--40.00,30.00--45.00,55.00--60.00,,50.00--60.00,30.00-38.00,30.00-40.00,,
2020-12-14,Leeks,,50.00--60.00,50.00--65.00,70.00--80.00,,50.00--60.00,45.00-55.00,55.00-65.00,,
2020-12-15,Leeks,,40.00--50.00,55.00--65.00,80.00--90.00,,60.00--70.00,50.00-55.00,65.00-70.00,,
2020-12-16,Leeks,,40.00--50.00,65.00--80.00,70.00--80.00,,60.00--70.00,40.00-50.00,65.00-70.00,,
2020-12-17,Leeks,,50.00--60.00,60.00--70.00,70.00--80.00,,60.00--70.00,50.00-55.00,65.00-70.00,,
2020-12-18,Leeks,50.00--60.00,50.00--60.00,60.00--75.00,70.00--80.00,,60.00--70.00,50.00-55.00,50.00-60.00,,
2020-12-21,Leeks,50.00--60.00,60.00--70.00,50.00--65.00,60.00--70.00,,60.00--70.00,,50.00-55.00,,
2020-12-22,Leeks,40.00--60.00,60.00--70.00,55.00--65.00,60.00--70.00,,60.00--70.00,,50.00-55.00,,
2020-12-23,Leeks,40.00--50.00,50.00--60.00,55.00--65.00,60.00--70.00,,60.00--70.00,45.00-50.00,50.00-55.00,,
2020-12-24,Leeks,40.00--50.00,50.00--60.00,35.00--45.00,60.00--70.00,,60.00--70.00,40.00-50.00,50.00-55.00,,
2020-12-28,Leeks,40.00--60.00,60.00--70.00,45.00--60.00,60.00--70.00,,50.00--60.00,,45.00-50.00,,
2020-12-30,Leeks,40.00--50.00,50.00--60.00,45.00--55.00,,,60.00--70.00,40.00-44.00,45.00-50.00,,
2020-12-31,Leeks,40.00--60.00,60.00--70.00,35.00--45.00,60.00--70.00,,55.00--65.00,40.00-43.00,40.00-45.00,,
2021-01-01,Leeks,40.00--50.00,60.00--70.00,60.00--70.00,60.00--80.00,,55.00--65.00,45.00-50.00,40.00-45.00,,
2021-01-02,Leeks,80.00--90.00,100.00--110.00,110.00--130.00,100.00--120.00,,110.00--120.00,70.00-80.00,90.00-95.00,,
2021-01-03,Leeks,70.00--80.00,90.00--100.00,85.00--100.00,100.00--110.00,,100.00--110.00,75.00-85.00,90.00-100.00,,
2021-01-04,Leeks,80.00--90.00,70.00--80.00,60.00--80.00,80.00--90.00,,85.00--100.00,70.00-75.00,75.00-85.00,,
2021-01-07,Leeks,170.00--180.00,150.00--160.00,150.00--160.00,190.00--200.00,,180.00--200.00,150.00-160.00,170.00-175.00,,
2021-01-09,Leeks,180.00--200.00,160.00--170.00,170.00--180.00,,,220.00--230.00,170.00-180.00,190.00-195.00,,
2021-01-10,Leeks,130.00--140.00,140.00--150.00,130.00--140.00,140.00--150.00,,130.00--150.00,125.00-130.00,125.00-135.00,,
2021-01-11,Leeks,160.00--170.00,180.00--200.00,160.00--180.00,210.00--220.00,,180.00--200.00,160.00-170.00,170.00--175.00,,
2021-01-12,Leeks,160-200,200-220,190-210,230-250,,220-250,200-210,190-200,,
2021-01-13,Leeks,50.00--60.00,50.00--60.00,30.00--45.00,60.00--65.00,,50.00--60.00,40.00-45.00,34.00-36.00,,
2021-01-15,Leeks,50.00--60.00,50.00--60.00,50.00--60.00,60.00--70.00,,60.00--65.00,40.00-45.00,45.00-50.00,,
2021-01-18,Leeks,50.00--60.00,50.00--60.00,40.00--50.00,70.00--80.00,,65.00--70.00,50.00-60.00,55.00-60.00,,
